术语,定义
过热,"金属或合金在热处理加热时,由于温度过高,晶粒长得很大,以致性能显著降低的现象"
偏析,合金中合金元素、夹杂物或气孔等分布不均匀的现象
冷脆,"在低温(一般指100℃以下),钢的冲击韧度随温度的降低而急剧下降的现象"
蓝脆,"钢在200-300℃(表面氧化膜呈蓝色)时抗拉强度及硬度比常温的高,塑性及韧度比常温的低的现象"
热脆,有些合金在接近熔点的温度受到应力或形变时沿晶界开裂的现象
氢脆,金属或合金因吸收氢而引起的韧度降低现象
白点,"白点是钢中因氢的析出而引起的一种缺陷。在纵向断口上,它呈现接近圆形或椭圆形的银白色斑点;在侵蚀后的宏观磨片上呈现发裂"
渗碳,"为了增加钢件表层的含碳量和一定的碳浓度梯度,将钢件在渗碳介质中加热并保温使碳原子渗入表层的化学热处理工艺"
固体渗碳,将工件放在填充粒状渗碳剂的密封箱中进行渗碳的工艺
青剂渗碳,工件表面以膏状渗碳剂涂覆进行渗碳的工艺
盐浴渗碳(液体渗碳),在熔融盐浴渗碳剂中进行渗碳的工艺
气体渗碳,工件在气体渗碳剂中进行渗碳的工艺
滴注式渗碳(滴液式渗碳),将苯、醇、煤油等液体渗碳剂直接滴入炉内裂解进行气体渗碳的工艺
离子渗碳(辉光放电渗碳),"在低于一个大气压的渗碳气氛中,利用工件(阴极)和阳极之间产生的辉光放电进行渗碳的工艺"
流态床渗碳,在悬浮于气流中形成流态化的固体颗粒渗碳介质中进行渗碳的工艺
电解渗碳,在作为阴极的被处理件和在熔盐浴中的石墨阳极之间通以电流进行渗碳的工艺
真空渗碳,在低于一个大气压的条件下进行气体渗碳的工艺
高温渗碳,在950℃以上进行渗碳的工艺
局部渗碳,仅对工件表面某一部分或某些区域进行的渗碳
复碳,"由于热处理或其他工序引起钢件表面脱碳后,为恢复初始碳含量而进行的渗碳处理"
碳势(碳位),碳势是指表征含碳气氛在一定温度下改变钢件表面含碳量能力的参数。通常可用低碳钢管在含碳气氛中的平衡含碳量来表示
渗碳层,渗碳件中含碳量高于原材料的表层
渗碳层深度,由渗碳工件表面向内至规定碳浓度处的垂直距离
有效渗碳硬化层深度,渗碳淬火后的工件由其表面测定到规定硬度(通常为550HV1)处的垂直距离
渗氮(氮化),"在一定温度下(一般在Ac1温度下),使活性氮原子渗入工件表面的化学热处理工艺"
液体渗氮,在熔盐渗氮剂中进行渗氮的工艺
气体渗氮,在气体介质中进行渗氮的工艺
离子渗氮(离子氮化),"在低于一个大气压的渗氮气氛中,利用工件(阴极)和阳极之间产生的辉光放电进行渗氮的工艺"
一段渗氮,在一个温度下进行渗氮的工艺
多段渗氮(多段氮化),将渗氮过程分在两个或三个温度阶段保温渗氮的工艺
退氮(脱氮),从渗氮件表层去除过剩的氮进行的化学热处理工艺
氮化物,"氮与金属元素形成的化合物。渗氮时常见的氮化物有γ-Fe4N, ε-Fe2-3N, ζ-Fe2N等"
氮势,表征含氮介质在给定温度对工件渗氮或退氮到某一给定表面氮含量的能力的参数
渗氮层深度,从渗氮件表面沿垂直方向测至与基体组织有明显的分界处为止的距离
